epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,661.186,1.10947,0.86435,1.18584,0.94238,0.91222,0.95616,0.70411,0.9451,0.69508,1.0359,0.000585599,0.000585599,0.000585599
17,703.494,1.10547,0.84262,1.18027,0.94262,0.94079,0.95822,0.60317,1.29715,0.81146,1.19269,0.000569106,0.000569106,0.000569106
18,746.492,1.10044,0.83198,1.1735,0.91359,0.86643,0.92054,0.59494,1.25276,0.8235,1.17491,0.000552612,0.000552612,0.000552612
19,792.979,1.07893,0.80773,1.16915,0.90297,0.90243,0.92975,0.65644,1.12703,0.75469,1.11623,0.000536119,0.000536119,0.000536119
20,845.591,1.0811,0.78962,1.15604,0.94726,0.93168,0.95324,0.69139,0.9978,0.63203,1.03716,0.000519625,0.000519625,0.000519625
21,897.236,1.0411,0.75679,1.1374,0.95069,0.88857,0.95114,0.68194,1.04356,0.67309,1.06014,0.000503132,0.000503132,0.000503132
22,940.234,1.03419,0.7507,1.14333,0.92245,0.91446,0.94826,0.67691,1.02327,0.64964,1.052,0.000486639,0.000486639,0.000486639
23,983.023,1.0139,0.73189,1.13467,0.88136,0.91831,0.93702,0.64666,1.10229,0.7082,1.09953,0.000470145,0.000470145,0.000470145
24,1025.01,1.02019,0.72136,1.12865,0.89961,0.91253,0.94881,0.66769,1.08129,0.6457,1.11484,0.000453652,0.000453652,0.000453652
25,1066.92,1.00437,0.70872,1.1288,0.94533,0.90955,0.94065,0.67666,0.98616,0.63586,1.04751,0.000437158,0.000437158,0.000437158
26,1110,0.98568,0.68859,1.11603,0.95464,0.92162,0.95217,0.68728,0.97985,0.6503,1.04517,0.000420665,0.000420665,0.000420665
27,1154.44,0.98886,0.69398,1.12225,0.93118,0.92041,0.94715,0.68503,1.05241,0.65888,1.06141,0.000404172,0.000404172,0.000404172
28,1197.68,0.97872,0.67579,1.10863,0.94123,0.91193,0.94658,0.63383,1.19222,0.67327,1.15888,0.000387678,0.000387678,0.000387678
29,1240.02,0.97088,0.66858,1.11257,0.92694,0.83398,0.89622,0.58728,1.29728,0.76843,1.22331,0.000371185,0.000371185,0.000371185
30,1283.11,0.97583,0.66018,1.10291,0.89768,0.94502,0.95211,0.68013,0.99308,0.64337,1.06979,0.000354691,0.000354691,0.000354691
31,1326.28,0.95276,0.64963,1.09958,0.90687,0.94726,0.95718,0.66146,1.03461,0.62707,1.08749,0.000338198,0.000338198,0.000338198
32,1372.37,0.94168,0.62944,1.08977,0.95255,0.92376,0.94986,0.68356,1.03751,0.62716,1.09945,0.000321705,0.000321705,0.000321705
33,1418.12,0.91919,0.61912,1.08191,0.91946,0.90643,0.9319,0.63921,1.0945,0.64571,1.14418,0.000305211,0.000305211,0.000305211
34,1464.28,0.8887,0.61044,1.07457,0.93832,0.93213,0.94389,0.6463,1.19791,0.65912,1.15179,0.000288718,0.000288718,0.000288718
35,1510.3,0.90248,0.60736,1.0783,0.96862,0.89986,0.9523,0.65855,1.05538,0.60954,1.08667,0.000272224,0.000272224,0.000272224
36,1557.49,0.90405,0.60079,1.07725,0.93175,0.91658,0.96918,0.69327,0.93022,0.58987,1.05443,0.000255731,0.000255731,0.000255731
37,1606.24,0.8914,0.59132,1.07372,0.94954,0.90281,0.95401,0.68357,0.98939,0.58568,1.07858,0.000239238,0.000239238,0.000239238
38,1654.57,0.87,0.57244,1.05664,0.86398,0.89877,0.90949,0.62116,1.25003,0.66583,1.22094,0.000222744,0.000222744,0.000222744
39,1701.09,0.87184,0.57708,1.06082,0.92266,0.89294,0.92983,0.66527,1.05938,0.62654,1.10075,0.000206251,0.000206251,0.000206251
40,1747.8,0.86897,0.56481,1.0556,0.93367,0.90852,0.94717,0.65016,1.13028,0.64366,1.1484,0.000189757,0.000189757,0.000189757
41,1879.35,0.78954,0.4884,1.00573,0.92818,0.9472,0.96444,0.6829,1.06294,0.60505,1.10779,0.000173264,0.000173264,0.000173264
